state,district,case,cured,active,death
"karnataka","gadag","555","220","324","11"
"karnataka","kolar","461","132","320","9"
"karnataka","koppal","432","219","208","5"
"karnataka","ramanagara","423","195","219","9"
"karnataka","haveri","404","288","107","9"
"karnataka","kodagu","259","114","140","5"
"karnataka","chamarajanagara","256","135","118","3"
"karnataka","chikkamagaluru","252","134","111","7"
"karnataka","chitradurga","200","74","125","1"
"karnataka","other state","36","32","1","3"
"karnataka","unknown","13","0","13","0"
"uttar pradesh","gautam buddha nagar","4024","3033","953","38"
"uttar pradesh","ghaziabad","3902","2305","1534","63"
"uttar pradesh","lucknow","3610","1421","2144","45"
"uttar pradesh","kanpur nagar","2271","1263","896","112"
"uttar pradesh","meerut","1807","1224","489","94"
"uttar pradesh","agra","1477","1214","167","96"
"uttar pradesh","varanasi","1262","539","682","41"
"uttar pradesh","jhansi","1052","326","681","45"
"uttar pradesh","bulandshahr","1027","779","223","25"
"uttar pradesh","hapur","972","763","191","18"
"uttar pradesh","gorakhpur","963","501","440","22"
"uttar pradesh","moradabad","935","537","360","38"
"uttar pradesh","aligarh","889","420","444","25"
"uttar pradesh","prayagraj","861","436","392","33"
"uttar pradesh","jaunpur","840","612","217","11"
"uttar pradesh","bareilly","830","328","480","22"
"uttar pradesh","ballia","719","316","397","6"
"uttar pradesh","sambhal","705","430","263","12"
"uttar pradesh","barabanki","700","554","142","4"
"uttar pradesh","ayodhya","615","329","278","8"
"uttar pradesh","saharanpur","614","466","144","4"
"uttar pradesh","mathura","596","389","181","26"
"uttar pradesh","firozabad","592","509","47","36"
"uttar pradesh","deoria","556","273","278","5"
"uttar pradesh","rampur","533","382","142","9"
"uttar pradesh","basti","531","361","153","17"
"uttar pradesh","muzaffarnagar","524","351","156","17"
"uttar pradesh","sant kabir nagar","511","293","211","7"
"uttar pradesh","hardoi","507","254","246","7"
"uttar pradesh","baghpat","500","401","91","8"
"uttar pradesh","bijnor","499","348","145","6"
"uttar pradesh","ghazipur","490","375","108","7"
"uttar pradesh","chandauli","463","180","278","5"
"uttar pradesh","mainpuri","461","304","145","12"
"uttar pradesh","unnao","453","230","218","5"
"uttar pradesh","etawah","452","306","127","19"
"uttar pradesh","azamgarh","448","288","150","10"
"uttar pradesh","kannauj","386","282","101","3"
"uttar pradesh","sultanpur","380","204","168","8"
"uttar pradesh","kushinagar","370","177","186","7"
"uttar pradesh","siddharthnagar","369","265","94","10"
"uttar pradesh","amethi","338","313","24","1"
"uttar pradesh","maharajganj","324","213","108","3"
"uttar pradesh","farrukhabad","323","208","105","10"
"uttar pradesh","amroha","322","183","130","9"
"uttar pradesh","mau","308","122","181","5"
"uttar pradesh","shahjahanpur","306","150","155","1"
"uttar pradesh","mirzapur","288","187","95","6"
"uttar pradesh","sonbhadra","281","63","217","1"
"uttar pradesh","kaushambi","276","174","101","1"
"uttar pradesh","fatehpur","268","184","78","6"
"uttar pradesh","gonda","261","182","72","7"
"uttar pradesh","budaun","250","178","70","2"
"uttar pradesh","rae bareli","246","161","80","5"
"uttar pradesh","shamli","246","174","67","5"
"uttar pradesh","kasganj","240","139","101","0"
"uttar pradesh","jalaun","239","187","44","8"
"uttar pradesh","bhadohi","230","166","62","2"
"uttar pradesh","hathras","222","194","24","4"
"uttar pradesh","pilibhit","210","155","55","0"
"uttar pradesh","bahraich","204","142","61","1"
"uttar pradesh","etah","201","119","72","10"
"uttar pradesh","lakhimpur kheri","195","132","63","0"
"uttar pradesh","hamirpur","160","94","64","2"
"uttar pradesh","pratapgarh","159","116","33","10"
"uttar pradesh","ambedkar nagar","151","126","19","6"
"uttar pradesh","banda","145","55","89","1"
"uttar pradesh","auraiya","144","107","35","2"
"uttar pradesh","balrampur","129","93","33","3"
"uttar pradesh","sitapur","120","66","53","1"
"uttar pradesh","mahoba","120","65","53","2"
"uttar pradesh","chitrakoot","116","98","16","2"
"uttar pradesh","lalitpur","112","12","97","3"
"uttar pradesh","kanpur dehat","106","65","40","1"
"uttar pradesh","shrawasti","100","73","25","2"
"telangana","hyderabad","31372","305","31044","23"
"telangana","ranga reddy","3435","17","3416","2"
"telangana","medchal malkajgiri","2049","9","2039","1"
"telangana","sangareddy","709","6","703","0"
"telangana","karimnagar","651","16","635","0"
"telangana","nalgonda","542","12","530","0"
"telangana","warangal urban","485","23","462","0"
"telangana","unknown","456","30056","-29979","379"
"telangana","nizamabad","308","30","278","0"
"telangana","medak","284","4","280","0"
"telangana","suryapet","282","24","258","0"
"telangana","mahabubnagar","272","8","264","0"
"telangana","other state","250","0","250","0"
"telangana","khammam","223","3","220","0"
"telangana","kamareddy","207","8","199","0"
"telangana","mancherial","190","0","189","1"
"telangana","warangal rural","187","0","187","0"
"telangana","vikarabad","182","15","166","1"
"telangana","rajanna sircilla","161","2","159","0"
"telangana","jangaon","139","1","138","0"
"telangana","peddapalli","134","1","133","0"
"telangana","wanaparthy","133","0","133","0"
"telangana","siddipet","129","1","128","0"
"telangana","jogulamba gadwal","120","25","94","1"
"telangana","nagarkurnool","115","2","113","0"
"telangana","mahabubabad","115","1","114","0"
"telangana","bhadradri kothagudem","109","4","105","0"
"telangana","adilabad","96","15","81","0"
"telangana","yadadri bhuvanagiri","89","0","89","0"
"telangana","jayashankar bhupalapally","72","0","72","0"
"telangana","jagtial","58","2","56","0"
"telangana","nirmal","51","13","38","0"
"telangana","narayanpet","48","0","47","1"
"telangana","mulugu","47","2","45","0"
"telangana","komaram bheem","47","2","45","0"
"telangana","foreign evacuees","33","0","33","0"
"andhra pradesh","kurnool","5681","2427","3138","116"
"andhra pradesh","east godavari","5499","1251","4202","46"
"andhra pradesh","guntur","4544","2385","2112","47"
"andhra pradesh","anantapur","4504","2616","1823","65"
"andhra pradesh","chittoor","4207","1413","2750","44"
"andhra pradesh","krishna","3151","2147","910","94"
"andhra pradesh","west godavari","2944","1446","1457","41"
"andhra pradesh","other state","2461","2150","311","0"
"andhra pradesh","y.s.r. kadapa","2420","1316","1082","22"
"andhra pradesh","srikakulam","2034","757","1261","16"
"andhra pradesh","s.p.s.r. nellore","1995","788","1186","21"
"andhra pradesh","visakhapatnam","1832","1284","518","30"
"andhra pradesh","prakasam","1714","1105","579","30"
"andhra pradesh","vizianagaram","1189","288","887","14"
"andhra pradesh","foreign evacuees","434","390","44","0"
"west bengal","kolkata","12682","6966","5155","561"
"west bengal","north 24 parganas","8032","4008","3820","204"
"west bengal","howrah","4915","3314","1459","142"
"west bengal","south 24 parganas","3088","1720","1320","48"
"west bengal","hooghly","1958","1306","612","40"
"west bengal","malda","1626","1025","594","7"
"west bengal","darjeeling","1237","735","488","14"
"west bengal","purba medinipur","765","453","303","9"
"west bengal","jalpaiguri","729","449","277","3"
"west bengal","paschim medinipur","683","432","240","11"
"west bengal","dakshin dinajpur","646","311","331","4"
"west bengal","uttar dinajpur","560","350","209","1"
"west bengal","nadia","544","379","156","9"
"west bengal","murshidabad","475","310","160","5"
"west bengal","cooch behar","398","318","80","0"
"west bengal","bankura","369","298","71","0"
"west bengal","birbhum","353","322","28","3"
"west bengal","purba bardhaman","332","208","121","3"
"west bengal","paschim bardhaman","321","186","128","7"
"west bengal","alipurduar","217","193","23","1"
"west bengal","purulia","122","113","9","0"
"west bengal","other state","66","63","0","3"
"west bengal","kalimpong","63","55","7","1"
"west bengal","jhargram","28","25","3","0"
"rajasthan","jodhpur","4528","3276","1186","66"
"rajasthan","jaipur","4283","3326","778","179"
"rajasthan","bharatpur","2116","1880","190","46"
"rajasthan","pali","1843","1386","441","16"
"rajasthan","alwar","1650","757","885","8"
"rajasthan","bikaner","1335","490","824","21"
"rajasthan","nagaur","1066","824","223","19"
"rajasthan","ajmer","1017","658","333","26"
"rajasthan","kota","986","741","216","29"
"rajasthan","udaipur","958","837","111","10"
"rajasthan","dholpur","907","778","115","14"
"rajasthan","barmer","856","525","323","8"
"rajasthan","jalore","761","510","248","3"
"rajasthan","sirohi","740","602","128","10"
"rajasthan","sikar","730","687","35","8"
"rajasthan","dungarpur","514","479","34","1"
"rajasthan","churu","499","376","121","2"
"rajasthan","jhunjhunu","494","445","45","4"
"rajasthan","rajsamand","444","356","83","5"
"rajasthan","jhalawar","393","380","13","0"
"rajasthan","bhilwara","350","278","66","6"
"rajasthan","dausa","235","207","24","4"
"rajasthan","tonk","224","211","11","2"
"rajasthan","chittorgarh","216","206","4","6"
"rajasthan","other state","171","41","96","34"
"rajasthan","karauli","166","110","51","5"
"rajasthan","pratapgarh","157","112","44","1"
"rajasthan","hanumangarh","146","87","58","1"
"rajasthan","sawai madhopur","142","107","25","10"
"rajasthan","jaisalmer","126","113","13","0"
"rajasthan","banswara","111","101","8","2"
"rajasthan","ganganagar","105","57","45","3"
"rajasthan","baran","78","71","3","4"
"rajasthan","evacuees","61","61","0","0"
"rajasthan","bsf camp","54","52","2","0"
"rajasthan","bundi","36","15","21","0"
"rajasthan","italians","2","2","0","0"
"haryana","gurugram","7594","6469","1011","114"
"haryana","faridabad","6350","5076","1165","109"
"haryana","sonipat","2344","1613","706","25"
"haryana","rohtak","1134","742","374","18"
"haryana","rewari","1017","597","412","8"
"haryana","ambala","832","547","277","8"
"haryana","bhiwani","718","601","112","5"
"haryana","jhajjar","621","442","174","5"
"haryana","palwal","615","492","115","8"
"haryana","hisar","609","319","283","7"
"haryana","karnal","608","447","153","8"
"haryana","mahendragarh","599","332","266","1"
"haryana","panipat","509","281","218","10"
"haryana","nuh","425","293","125","7"
"haryana","sirsa","253","164","88","1"
"haryana","panchkula","243","126","117","0"
"haryana","kurukshetra","239","169","69","1"
"haryana","fatehabad","214","138","74","2"
"haryana","jind","172","117","51","4"
"haryana","kaithal","169","120","49","0"
"haryana","yamunanagar","146","119","25","2"
"haryana","charkhi dadri","101","79","21","1"
"haryana","foreign evacuees","21","21","0","0"
"haryana","italians","14","14","0","0"
"bihar","patna","3581","1766","1787","28"
"bihar","bhagalpur","1532","913","603","16"
"bihar","siwan","1094","544","544","6"
"bihar","muzaffarpur","1082","696","378","8"
"bihar","begusarai","1075","687","381","7"
"bihar","nalanda","984","455","522","7"
"bihar","nawada","839","581","254","4"
"bihar","munger","826","504","317","5"
"bihar","west champaran","780","333","442","5"
"bihar","gaya","768","373","382","13"
"bihar","rohtas","748","439","303","6"
"bihar","madhubani","697","572","123","2"
"bihar","khagaria","662","427","231","4"
"bihar","samastipur","655","458","190","7"
"bihar","saran","607","384","217","6"
"bihar","east champaran","602","484","111","7"
"bihar","bhojpur","591","366","221","4"
"bihar","gopalganj","588","451","136","1"
"bihar","katihar","568","510","56","2"
"bihar","vaishali","491","334","153","4"
"bihar","purnia","489","382","105","2"
"bihar","darbhanga","479","391","78","10"
"bihar","supaul","459","366","93","0"
"bihar","buxar","423","284","139","0"
"bihar","lakhisarai","415","221","194","0"
"bihar","aurangabad","414","330","82","2"
"bihar","jehanabad","408","319","85","4"
"bihar","saharsa","360","294","65","1"
"bihar","banka","354","280","73","1"
"bihar","jamui","321","143","177","1"
"bihar","madhepura","320","252","67","1"
"bihar","kishanganj","313","225","85","3"
"bihar","kaimur","306","235","68","3"
"bihar","sheikhpura","275","181","94","0"
"bihar","araria","247","157","88","2"
"bihar","arwal","242","153","88","1"
"bihar","sitamarhi","227","167","57","3"
"bihar","sheohar","145","114","30","1"
"madhya pradesh","indore","5906","4175","1443","288"
"madhya pradesh","bhopal","4085","2899","1057","129"
"madhya pradesh","gwalior","1578","827","744","7"
"madhya pradesh","morena","1216","841","370","5"
"madhya pradesh","ujjain","954","800","83","71"
"madhya pradesh","jabalpur","752","447","288","17"
"madhya pradesh","neemuch","527","464","55","8"
"madhya pradesh","sagar","504","406","75","23"
"madhya pradesh","khandwa","504","363","123","18"
"madhya pradesh","khargone","474","347","112","15"
"madhya pradesh","burhanpur","437","398","16","23"
"madhya pradesh","bhind","411","307","103","1"
"madhya pradesh","dewas","332","232","90","10"
"madhya pradesh","ratlam","265","210","49","6"
"madhya pradesh","dhar","262","177","77","8"
"madhya pradesh","mandsaur","260","156","95","9"
"madhya pradesh","barwani","229","158","67","4"
"madhya pradesh","shajapur","223","87","132","4"
"madhya pradesh","shivpuri","216","99","115","2"
"madhya pradesh","tikamgarh","191","88","97","6"
"madhya pradesh","rajgarh","163","95","61","7"
"madhya pradesh","betul","153","88","64","1"
"madhya pradesh","sheopur","149","91","56","2"
"madhya pradesh","raisen","141","108","28","5"
"madhya pradesh","rewa","136","66","69","1"
"madhya pradesh","vidisha","128","74","54","0"
"madhya pradesh","harda","122","59","59","4"
"madhya pradesh","datia","114","55","58","1"
"madhya pradesh","chhatarpur","103","64","38","1"
"madhya pradesh","sehore","94","29","61","4"
"madhya pradesh","chhindwara","92","65","25","2"
"madhya pradesh","hoshangabad","91","39","48","4"
"madhya pradesh","narsinghpur","77","35","41","1"
"madhya pradesh","ashoknagar","75","56","18","1"
"madhya pradesh","damoh","72","52","20","0"
"madhya pradesh","jhabua","66","23","41","2"
"madhya pradesh","satna","62","41","18","3"
"madhya pradesh","panna","61","58","3","0"
"madhya pradesh","balaghat","61","42","19","0"
"madhya pradesh","guna","50","25","23","2"
"madhya pradesh","katni","47","24","20","3"
"madhya pradesh","singrauli","46","18","27","1"
"madhya pradesh","shahdol","46","22","24","0"
"madhya pradesh","sidhi","45","22","22","1"
"madhya pradesh","alirajpur","44","7","36","1"
"madhya pradesh","agar malwa","43","21","20","2"
"madhya pradesh","anuppur","35","29","6","0"
"madhya pradesh","umaria","32","10","21","1"
"madhya pradesh","dindori","31","30","1","0"
"madhya pradesh","niwari","23","11","12","0"
"madhya pradesh","seoni","22","18","3","1"
"madhya pradesh","mandla","13","6","6","1"
"madhya pradesh","other region","0","0","0","0"
"assam","kamrup metropolitan","10000","4587","5385","28"
"assam","unknown","4728","6170","-1454","9"
"assam","golaghat","616","553","62","1"
"assam","hailakandi","540","381","157","2"
"assam","dhubri","490","410","80","0"
"assam","sonitpur","468","331","136","1"
"assam","barpeta","467","340","126","1"
"assam","darrang","430","261","169","0"
"assam","cachar","351","249","102","0"
"assam","dibrugarh","334","156","177","1"
"assam","nagaon","330","107","221","2"
"assam","tinsukia","291","109","180","2"
"assam","hojai","267","163","104","0"
"assam","udalguri","236","210","25","1"
"assam","jorhat","228","110","116","2"
"assam","karbi anglong","223","187","33","3"
"assam","kamrup","215","63","150","2"
"assam","morigaon","211","140","71","0"
"assam","karimganj","211","141","70","0"
"assam","lakhimpur","202","125","77","0"
"assam","bongaigaon","155","87","68","0"
"assam","nalbari","145","43","102","0"
"assam","dima hasao","136","116","20","0"
"assam","dhemaji","96","6","90","0"
"assam","kokrajhar","86","10","76","0"
"assam","baksa","85","0","83","2"
"assam","chirang","78","52","26","0"
"assam","biswanath","58","16","42","0"
"assam","goalpara","57","4","38","0"
"assam","sivasagar","33","26","6","1"
"assam","south salmara mankachar","28","12","16","0"
"assam","west karbi anglong","28","0","28","0"
"assam","majuli","21","0","21","0"
"assam","charaideo","16","0","16","0"
"assam","airport quarantine","4","0","4","0"
"assam","other state","1","1","0","0"
"odisha","ganjam","5280","3554","1671","55"
"odisha","khordha","1865","1090","756","19"
"odisha","cuttack","1184","875","298","11"
"odisha","jajpur","953","779","172","2"
"odisha","sundargarh","778","639","136","3"
"odisha","gajapati","664","534","127","3"
"odisha","balasore","658","475","181","2"
"odisha","jagatsinghpur","492","363","129","0"
"odisha","mayurbhanj","455","298","155","2"
"odisha","puri","398","311","84","3"
"odisha","kendujhar","389","311","77","1"
"odisha","kendrapara","341","293","46","2"
"odisha","nayagarh","326","212","114","0"
"odisha","bhadrak","317","289","24","4"
"odisha","balangir","282","246","36","0"
"odisha","malkangiri","274","152","122","0"
"odisha","bargarh","244","178","65","1"
"odisha","koraput","225","80","145","0"
"odisha","jharsuguda","212","163","49","0"
"odisha","kandhamal","206","199","7","0"
"odisha","rayagada","187","127","59","1"
"odisha","angul","166","133","31","2"
"odisha","sambalpur","156","108","48","0"
"odisha","nabarangapur","156","127","28","1"
"odisha","dhenkanal","121","90","31","0"
"odisha","nuapada","100","82","18","0"
"odisha","kalahandi","85","78","7","0"
"odisha","deogarh","69","62","7","0"
"odisha","boudh","69","45","24","0"
"odisha","subarnapur","49","44","5","0"
"odisha","others","0","0","0","0"
"jammu and kashmir","srinagar","2611","570","1982","59"
"jammu and kashmir","baramulla","1527","848","631","48"
"jammu and kashmir","kulgam","1140","791","325","24"
"jammu and kashmir","shopiyan","1082","744","320","18"
"jammu and kashmir","anantnag","1032","679","335","18"
"jammu and kashmir","pulwama","842","563","268","11"
"jammu and kashmir","kupwara","833","533","287","13"
"jammu and kashmir","budgam","749","388","343","18"
"jammu and kashmir","jammu","584","394","179","11"
"jammu and kashmir","bandipora","428","329","94","5"
"jammu and kashmir","kathua","352","239","112","1"
"jammu and kashmir","rajouri","339","109","229","1"
"jammu and kashmir","samba","328","174","153","1"
"jammu and kashmir","udhampur","324","1","322","1"
"jammu and kashmir","ramban","318","223","95","0"
"jammu and kashmir","ganderbal","267","111","152","4"
"jammu and kashmir","doda","158","82","74","2"
"jammu and kashmir","punch","152","124","27","1"
"jammu and kashmir","kishtwar","68","28","40","0"
"jammu and kashmir","reasi","64","45","19","0"
"jammu and kashmir","mirpur","0","0","0","0"
"jammu and kashmir","muzaffarabad","0","0","0","0"
"jammu and kashmir","unknown","0","190","-190","0"
"punjab","ludhiana","1767","1095","630","42"
"punjab","jalandhar","1616","886","697","33"
"punjab","amritsar","1225","960","202","63"
"punjab","patiala","880","370","495","15"
"punjab","sangrur","721","607","93","21"
"punjab","s.a.s. nagar","520","297","213","10"
"punjab","gurdaspur","307","268","29","10"
"punjab","pathankot","268","228","31","9"
"punjab","shahid bhagat singh nagar","258","153","103","2"
"punjab","hoshiarpur","258","183","67","8"
"punjab","tarn taran","222","205","11","6"
"punjab","ferozepur","215","101","110","4"
"punjab","faridkot","196","129","67","0"
"punjab","fatehgarh sahib","196","139","55","2"
"punjab","moga","194","134","56","4"
"punjab","bathinda","177","114","59","4"
"punjab","sri muktsar sahib","170","143","26","1"
"punjab","rupnagar","158","106","51","1"
"punjab","kapurthala","149","114","27","8"
"punjab","fazilka","149","102","46","1"
"punjab","barnala","79","67","10","2"
"punjab","mansa","67","53","14","0"
"kerala","thiruvananthapuram","1921","251","1662","8"
"kerala","malappuram","1199","648","546","5"
"kerala","palakkad","1052","768","282","1"
"kerala","alappuzha","937","332","601","3"
"kerala","ernakulam","880","234","642","3"
"kerala","kannur","870","528","335","7"
"kerala","kasaragod","847","500","347","0"
"kerala","pathanamthitta","799","347","451","0"
"kerala","thrissur","763","474","283","6"
"kerala","kollam","705","351","351","3"
"kerala","kozhikode","632","311","319","2"
"kerala","kottayam","457","236","220","1"
"kerala","idukki","331","111","219","1"
"kerala","wayanad","267","107","159","1"
"kerala","other state","0","0","0","0"
"chhattisgarh","raipur","1127","533","588","6"
"chhattisgarh","rajnandgaon","437","348","87","2"
"chhattisgarh","bilaspur","431","267","162","2"
"chhattisgarh","korba","350","328","22","0"
"chhattisgarh","janjgir champa","335","282","51","2"
"chhattisgarh","durg","307","175","128","4"
"chhattisgarh","baloda bazar","303","259","44","0"
"chhattisgarh","jashpur","204","190","14","0"
"chhattisgarh","balrampur","165","153","12","0"
"chhattisgarh","raigarh","163","146","15","2"
"chhattisgarh","surguja","151","70","80","1"
"chhattisgarh","narayanpur","140","73","67","0"
"chhattisgarh","uttar bastar kanker","137","76","61","0"
"chhattisgarh","kabeerdham","136","112","24","0"
"chhattisgarh","mungeli","135","123","12","0"
"chhattisgarh","bametara","103","78","25","0"
"chhattisgarh","mahasamund","98","89","8","1"
"chhattisgarh","koriya","85","68","17","0"
"chhattisgarh","balod","77","55","22","0"
"chhattisgarh","bastar","76","64","11","1"
"chhattisgarh","gariaband","65","49","16","0"
"chhattisgarh","dakshin bastar dantewada","64","52","12","0"
"chhattisgarh","bijapur","36","6","30","0"
"chhattisgarh","surajpur","32","29","3","0"
"chhattisgarh","sukma","29","7","22","0"
"chhattisgarh","dhamtari","27","7","19","1"
"chhattisgarh","kondagaon","17","12","5","0"
"chhattisgarh","gaurela pendra marwahi","9","6","3","0"
"chhattisgarh","other state","7","1","4","2"
"jharkhand","east singhbhum","816","349","460","7"
"jharkhand","ranchi","727","243","475","9"
"jharkhand","hazaribagh","392","201","186","5"
"jharkhand","simdega","387","358","28","1"
"jharkhand","dhanbad","356","178","169","9"
"jharkhand","koderma","348","209","137","2"
"jharkhand","garhwa","242","97","145","0"
"jharkhand","ramgarh","242","137","104","1"
"jharkhand","chatra","219","85","134","0"
"jharkhand","giridih","211","96","111","4"
"jharkhand","latehar","207","66","141","0"
"jharkhand","gumla","150","98","51","1"
"jharkhand","lohardaga","135","58","77","0"
"jharkhand","west singhbhum","131","64","66","1"
"jharkhand","saraikela-kharsawan","118","67","51","0"
"jharkhand","bokaro","117","45","70","2"
"jharkhand","palamu","116","100","16","0"
"jharkhand","pakur","115","43","72","0"
"jharkhand","deoghar","108","56","51","1"
"jharkhand","sahibganj","90","20","68","2"
"jharkhand","khunti","43","31","11","1"
"jharkhand","jamtara","42","29","13","0"
"jharkhand","dumka","37","18","19","0"
"jharkhand","godda","36","8","26","2"
"uttarakhand","dehradun","1049","737","259","29"
"uttarakhand","udham singh nagar","716","344","368","4"
"uttarakhand","nainital","684","458","218","7"
"uttarakhand","haridwar","482","318","156","0"
"uttarakhand","tehri garhwal","450","425","23","2"
"uttarakhand","almora","211","200","8","2"
